,date,close_2Y,open_2Y,change_2Y,time,infringementdummy,ruleoflawdummy,budgetdummy,financialmarketsdummy,rate_mom,_merge,day_of_week
403,03/06/2015,1.742,1.631,-0.068056367,404,0,0,,0,0.0,Master only (1),Friday
409,03/13/2015,1.668,1.647,-0.012750473,410,0,0,,0,0.0,Master only (1),Friday
415,03/20/2015,1.6109999,1.628,0.010442309,416,0,0,,0,0.0,Master only (1),Friday
422,03/27/2015,1.655,1.664,0.0054086917,423,0,0,,0,0.0,Master only (1),Friday
429,04/03/2015,1.607,1.623,0.0098583065,430,0,0,,0,0.0,Master only (1),Friday
436,04/10/2015,1.61,1.615,0.0030959724,437,0,0,,0,0.0,Master only (1),Friday
443,04/17/2015,1.602,1.626,0.014760177,444,0,0,,0,0.0,Master only (1),Friday
450,04/24/2015,1.65,1.652,0.0012106382,451,0,0,,0,0.0,Master only (1),Friday
456,05/01/2015,1.678,1.681,0.0017846645,457,0,0,,0,0.0,Master only (1),Friday
463,05/08/2015,1.723,1.73,0.004046225,464,0,0,,0,0.0,Master only (1),Friday
470,05/15/2015,1.798,1.742,-0.032146953,471,0,0,,0,0.0,Master only (1),Friday
476,05/22/2015,1.7539999,1.765,0.0062323157,477,0,0,,0,0.0,Master only (1),Friday
483,05/29/2015,1.785,1.772,-0.0073363497,484,0,0,,0,0.0,Master only (1),Friday
490,06/05/2015,1.809,1.865,0.030026807,491,0,0,,0,0.0,Master only (1),Friday
497,06/12/2015,1.961,1.936,-0.012913211,498,0,0,,0,0.0,Master only (1),Friday
502,06/19/2015,1.997,1.997,0.0,503,0,0,,0,0.0,Master only (1),Friday
507,06/26/2015,1.98,1.98,0.0,508,0,0,,0,0.0,Master only (1),Friday
512,07/03/2015,1.934,1.934,0.0,513,0,0,,0,0.0,Master only (1),Friday
517,07/10/2015,1.869,1.8430001,-0.014107381,518,0,0,,0,0.0,Master only (1),Friday
522,07/17/2015,1.7970001,1.803,0.0033277443,523,0,0,,0,0.0,Master only (1),Friday
526,07/24/2015,1.788,1.8200001,0.017582452,527,0,0,,0,0.0,Master only (1),Friday
531,07/31/2015,1.811,1.822,0.0060373419,532,0,0,,0,0.0,Master only (1),Friday
536,08/07/2015,1.84,1.867,0.014461677,537,0,0,,0,0.0,Master only (1),Friday
541,08/14/2015,1.793,1.804,0.0060975817,542,0,0,,0,0.0,Master only (1),Friday
546,08/21/2015,1.767,1.7180001,-0.02852148,547,0,0,,0,0.0,Master only (1),Friday
551,08/28/2015,1.796,1.824,0.015350875,552,0,0,,0,0.0,Master only (1),Friday
556,09/04/2015,1.77,1.809,0.021558892,557,0,0,,0,0.0,Master only (1),Friday
561,09/11/2015,1.822,1.822,0.0,562,0,0,,0,0.0,Master only (1),Friday
566,09/18/2015,1.836,1.8049999,-0.017174525,567,0,0,,0,0.0,Master only (1),Friday
573,09/25/2015,1.807,1.823,0.0087766945,574,0,0,,0,0.0,Master only (1),Friday
580,10/02/2015,1.67,1.77,0.05649719,581,0,0,,0,0.0,Master only (1),Friday
587,10/09/2015,1.747,1.723,-0.013929152,588,0,0,,0,0.0,Master only (1),Friday
594,10/16/2015,1.723,1.757,0.019351121,595,0,0,,0,0.0,Master only (1),Friday
601,10/23/2015,1.638,1.701,0.037037015,602,0,0,,0,0.0,Master only (1),Friday
608,10/30/2015,1.652,1.635,-0.010397529,609,0,0,,0,0.0,Master only (1),Friday
615,11/06/2015,1.668,1.641,-0.016453352,616,0,0,,0,0.0,Master only (1),Friday
622,11/13/2015,1.601,1.577,-0.015218724,623,0,0,,0,0.0,Master only (1),Friday
629,11/20/2015,1.601,1.601,0.0,630,1,0,,0,0.0,Master only (1),Friday
636,11/27/2015,1.592,1.625,0.020307688,637,0,0,,0,0.0,Master only (1),Friday
643,12/04/2015,1.686,1.626,-0.036900334,644,0,0,,0,0.0,Master only (1),Friday
650,12/11/2015,1.795,1.737,-0.033390887,651,0,0,,0,0.0,Master only (1),Friday
657,12/18/2015,1.788,1.804,0.0088691972,658,0,0,,0,0.0,Master only (1),Friday
664,12/25/2015,1.813,1.813,0.0,665,0,0,,0,0.0,Master only (1),Friday
671,01/01/2016,1.643,1.5779999,-0.041191418,672,0,0,,0,0.0,Master only (1),Friday
678,01/08/2016,1.395,1.475,0.054237317,679,0,0,,0,0.0,Master only (1),Friday
685,01/15/2016,1.451,1.426,-0.01753154,686,0,0,,0,0.0,Master only (1),Friday
691,01/22/2016,1.47,1.483,0.0087660225,692,0,0,,0,0.0,Master only (1),Friday
697,01/29/2016,1.543,1.556,0.0083547635,698,0,0,,0,0.0,Master only (1),Friday
704,02/05/2016,1.495,1.536,0.026692715,705,0,0,,0,0.0,Master only (1),Friday
711,02/12/2016,1.479,1.484,0.0033692692,712,0,0,,0,0.0,Master only (1),Friday
718,02/19/2016,1.478,1.4299999,-0.033566501,719,0,0,,0,0.0,Master only (1),Friday
725,02/26/2016,1.457,1.464,0.0047813999,726,0,0,,0,0.0,Master only (1),Friday
731,03/04/2016,1.442,1.47,0.019047616,732,0,0,,0,0.0,Master only (1),Friday
737,03/11/2016,1.465,1.462,-0.0020519979,738,0,0,,0,0.0,Master only (1),Friday
743,03/18/2016,1.4579999,1.461,0.0020534026,744,0,0,,0,0.0,Master only (1),Friday
750,03/25/2016,1.47,1.462,-0.0054719672,751,0,0,,0,0.0,Master only (1),Friday
756,04/01/2016,1.46,1.462,0.0013679714,757,0,0,,0,0.0,Master only (1),Friday
762,04/08/2016,1.512,1.5319999,0.013054818,763,0,0,,0,0.0,Master only (1),Friday
769,04/15/2016,1.523,1.534,0.0071708192,770,0,0,,0,0.0,Master only (1),Friday
776,04/22/2016,1.517,1.52,0.0019736981,777,0,0,,0,0.0,Master only (1),Friday
782,04/29/2016,1.518,1.4960001,-0.014705852,783,0,0,,0,0.0,Master only (1),Friday
789,05/06/2016,1.538,1.545,0.0045307246,790,0,0,,0,0.0,Master only (1),Friday
796,05/13/2016,1.524,1.5549999,0.019935627,797,0,0,,0,0.0,Master only (1),Friday
801,05/20/2016,1.585,1.5650001,-0.01277954,802,0,0,,0,0.0,Master only (1),Friday
807,05/27/2016,1.592,1.6160001,0.014851515,808,0,0,,0,0.0,Master only (1),Friday
814,06/03/2016,1.666,1.6339999,-0.019583883,815,0,0,,0,0.0,Master only (1),Friday
821,06/10/2016,1.768,1.773,0.0028200762,822,0,0,,0,0.0,Master only (1),Friday
828,06/17/2016,1.791,1.83,0.021311494,829,0,0,,0,0.0,Master only (1),Friday
835,06/24/2016,1.7869999,1.927,0.072651841,836,0,0,,0,0.0,Master only (1),Friday
841,07/01/2016,1.665,1.637,-0.017104458,842,0,0,,0,0.0,Master only (1),Friday
848,07/08/2016,1.7309999,1.748,0.0097254459,849,0,0,,0,0.0,Master only (1),Friday
854,07/15/2016,1.7079999,1.706,-0.0011723179,855,0,0,,0,0.0,Master only (1),Friday
861,07/22/2016,1.663,1.663,0.0,862,1,0,,0,0.0,Master only (1),Friday
867,07/29/2016,1.64,1.6720001,0.019138794,868,0,0,,0,0.0,Master only (1),Friday
873,08/05/2016,1.719,1.6720001,-0.028110007,874,0,0,,0,0.0,Master only (1),Friday
880,08/12/2016,1.6210001,1.656,0.021135245,881,0,0,,0,0.0,Master only (1),Friday
886,08/19/2016,1.553,1.579,0.016466131,887,0,0,,0,0.0,Master only (1),Friday
892,08/26/2016,1.61,1.6289999,0.011663557,893,0,0,,0,0.0,Master only (1),Friday
899,09/02/2016,1.653,1.668,0.0089927977,900,0,0,,0,0.0,Master only (1),Friday
905,09/09/2016,1.772,1.755,-0.0096865864,906,0,0,,0,0.0,Master only (1),Friday
912,09/16/2016,1.7690001,1.78,0.0061797295,913,0,0,,0,0.0,Master only (1),Friday
918,09/23/2016,1.745,1.74,-0.0028735604,919,0,0,,0,0.0,Master only (1),Friday
925,09/30/2016,1.772,1.767,-0.002829652,926,0,0,,0,0.0,Master only (1),Friday
930,10/07/2016,1.783,1.799,0.0088938475,931,0,0,,0,0.0,Master only (1),Friday
935,10/14/2016,1.774,1.785,0.006162419,936,0,0,,0,0.0,Master only (1),Friday
941,10/21/2016,1.765,1.765,0.0,942,0,0,,0,0.0,Master only (1),Friday
946,10/28/2016,1.806,1.854,0.025889955,947,0,0,,0,0.0,Master only (1),Friday
950,11/04/2016,1.822,1.822,0.0,951,0,0,,0,0.0,Master only (1),Friday
959,11/18/2016,1.902,1.891,-0.0058169845,960,0,0,,0,0.0,Master only (1),Friday
964,11/25/2016,1.933,1.944,0.0056584552,965,0,0,,0,0.0,Master only (1),Friday
970,12/02/2016,1.969,1.969,0.0,971,0,0,,0,0.0,Master only (1),Friday
975,12/09/2016,1.973,1.99,0.0085426932,976,0,0,,0,0.0,Master only (1),Friday
979,12/16/2016,2.0450001,2.0450001,0.0,980,0,0,,0,0.0,Master only (1),Friday
984,12/23/2016,1.989,1.977,-0.006069785,985,0,0,,0,0.0,Master only (1),Friday
987,12/30/2016,2.036,2.007,-0.014449449,988,0,0,,0,0.0,Master only (1),Friday
996,01/13/2017,2.0510001,2.0510001,0.0,997,0,0,,0,0.0,Master only (1),Friday
1001,01/20/2017,2.0250001,2.043,0.0088105174,1002,0,0,,0,0.0,Master only (1),Friday
1006,01/27/2017,2.0050001,1.999,-0.0030015814,1007,0,0,,0,0.0,Master only (1),Friday
1011,02/03/2017,2.1760001,2.2149999,0.017607132,1012,0,0,,0,0.0,Master only (1),Friday
1016,02/10/2017,2.22,2.23,0.0044843005,1017,0,0,,0,0.0,Master only (1),Friday
1021,02/17/2017,2.24,2.2550001,0.006651931,1022,0,0,,0,0.0,Master only (1),Friday
1027,02/24/2017,2.21,2.25,0.017777761,1028,0,0,,0,0.0,Master only (1),Friday
1033,03/03/2017,2.1800001,2.1700001,-0.0046082903,1034,0,0,,0,0.0,Master only (1),Friday
1038,03/10/2017,2.119,2.125,0.0028235491,1039,0,0,,0,0.0,Master only (1),Friday
1043,03/17/2017,2.119,2.1240001,0.0023541027,1044,0,0,,0,0.0,Master only (1),Friday
1049,03/24/2017,2.046,2.0869999,0.019645372,1050,0,0,,0,0.0,Master only (1),Friday
1055,03/31/2017,2.003,2.0239999,0.010375449,1056,0,0,,0,0.0,Master only (1),Friday
1060,04/07/2017,2.0220001,2.0480001,0.012695323,1061,0,0,,0,0.0,Master only (1),Friday
1066,04/14/2017,2.013,2.0179999,0.0024776394,1067,0,0,,0,0.0,Master only (1),Friday
1071,04/21/2017,1.982,2.0350001,0.02604427,1072,0,0,,0,0.0,Master only (1),Friday
1077,04/28/2017,1.985,1.98,-0.0025252502,1078,0,0,,0,0.0,Master only (1),Friday
1080,05/05/2017,2.0209999,2.0209999,0.0,1081,0,0,,0,0.0,Master only (1),Friday
1086,05/12/2017,1.987,1.992,0.0025100377,1087,0,0,,0,0.0,Master only (1),Friday
1091,05/19/2017,1.9630001,1.952,-0.0056352648,1092,0,0,,0,0.0,Master only (1),Friday
1096,05/26/2017,1.927,1.949,0.011287817,1097,0,0,,0,0.0,Master only (1),Friday
1101,06/02/2017,1.908,1.936,0.014462808,1102,0,0,,0,0.0,Master only (1),Friday
1106,06/09/2017,1.888,1.893,0.0026413077,1107,0,0,,0,0.0,Master only (1),Friday
1111,06/16/2017,1.946,1.936,-0.0051652845,1112,0,0,,0,0.0,Master only (1),Friday
1118,06/23/2017,1.949,1.944,-0.002572014,1119,0,0,,0,0.0,Master only (1),Friday
1124,06/30/2017,1.913,1.9910001,0.039176326,1125,0,0,,0,0.0,Master only (1),Friday
1131,07/07/2017,1.891,1.886,-0.002651111,1132,0,0,,0,0.0,Master only (1),Friday
1136,07/14/2017,1.854,1.829,-0.013668658,1137,0,0,,0,0.0,Master only (1),Friday
1142,07/21/2017,1.852,1.826,-0.014238786,1143,0,0,,0,0.0,Master only (1),Friday
1147,07/28/2017,1.831,1.814,-0.0093715321,1148,1,1,,0,0.0,Master only (1),Friday
1152,08/04/2017,1.814,1.8150001,0.00055098993,1153,0,0,,0,0.0,Master only (1),Friday
1158,08/11/2017,1.872,1.84,-0.017391274,1159,0,0,,0,0.0,Master only (1),Friday
1163,08/18/2017,1.823,1.836,0.0070806164,1164,0,0,,0,0.0,Master only (1),Friday
1168,08/25/2017,1.733,1.751,0.010279844,1169,0,0,,0,0.0,Master only (1),Friday
1174,09/01/2017,1.733,1.7359999,0.001728054,1175,0,0,,0,0.0,Master only (1),Friday
1179,09/08/2017,1.693,1.671,-0.013165742,1180,0,0,,0,0.0,Master only (1),Friday
1184,09/15/2017,1.748,1.734,-0.0080738515,1185,0,0,,0,0.0,Master only (1),Friday
1191,09/22/2017,1.7869999,1.801,0.0077734916,1192,0,0,,0,0.0,Master only (1),Friday
1198,09/29/2017,1.763,1.7180001,-0.026193222,1199,0,0,,0,0.0,Master only (1),Friday
1204,10/06/2017,1.789,1.7359999,-0.030530008,1205,0,0,,0,0.0,Master only (1),Friday
1210,10/13/2017,1.709,1.709,0.0,1211,0,0,,0,0.0,Master only (1),Friday
1216,10/20/2017,1.702,1.711,0.0052600489,1217,0,0,,0,0.0,Master only (1),Friday
1223,10/27/2017,1.607,1.624,0.010467956,1224,0,0,,0,0.0,Master only (1),Friday
1229,11/03/2017,1.625,1.652,0.016343797,1230,0,0,,0,0.0,Master only (1),Friday
1235,11/10/2017,1.579,1.62,0.025308648,1236,0,0,,0,0.0,Master only (1),Friday
1241,11/17/2017,1.603,1.601,-0.0012492776,1242,0,0,,0,0.0,Master only (1),Friday
1247,11/24/2017,1.5549999,1.556,0.00064270356,1248,0,0,,0,0.0,Master only (1),Friday
1254,12/01/2017,1.666,1.627,-0.02397052,1255,0,0,,0,0.0,Master only (1),Friday
1261,12/08/2017,1.675,1.6720001,-0.0017941996,1262,0,0,,0,0.0,Master only (1),Friday
1267,12/15/2017,1.66,1.642,-0.010962245,1268,0,0,,0,0.0,Master only (1),Friday
1273,12/22/2017,1.716,1.726,0.0057937372,1274,0,0,,0,0.0,Master only (1),Friday
1280,12/29/2017,1.712,1.714,0.0011668461,1281,0,0,,0,0.0,Master only (1),Friday
1285,01/05/2018,1.607,1.618,0.0067985398,1286,0,0,,0,0.0,Master only (1),Friday
1291,01/12/2018,1.739,1.624,-0.070812814,1292,0,0,,0,0.0,Master only (1),Friday
1297,01/19/2018,1.563,1.5930001,0.018832449,1298,0,0,,0,0.0,Master only (1),Friday
1303,01/26/2018,1.5549999,1.5420001,-0.0084305396,1304,0,0,,0,0.0,Master only (1),Friday
1310,02/02/2018,1.761,1.745,-0.0091690728,1311,0,0,,0,0.0,Master only (1),Friday
1315,02/09/2018,1.752,1.757,0.0028457572,1316,0,0,,0,0.0,Master only (1),Friday
1320,02/16/2018,1.728,1.77,0.023728779,1321,0,0,,0,0.0,Master only (1),Friday
1326,02/23/2018,1.676,1.722,0.026713127,1327,0,0,,0,0.0,Master only (1),Friday
1331,03/02/2018,1.643,1.643,0.0,1332,0,0,,0,0.0,Master only (1),Friday
1336,03/09/2018,1.581,1.586,0.0031525821,1337,0,0,,0,0.0,Master only (1),Friday
1341,03/16/2018,1.5190001,1.526,0.0045871357,1342,0,0,,0,0.0,Master only (1),Friday
1346,03/23/2018,1.548,1.531,-0.011103828,1347,0,0,,0,0.0,Master only (1),Friday
1352,03/30/2018,1.4960001,1.502,0.0039946223,1353,0,0,,0,0.0,Master only (1),Friday
1357,04/06/2018,1.489,1.49,0.00067117228,1358,0,0,,0,0.0,Master only (1),Friday
1362,04/13/2018,1.54,1.535,-0.0032573259,1363,0,0,,0,0.0,Master only (1),Friday
1367,04/20/2018,1.541,1.549,0.0051646326,1368,0,0,,0,0.0,Master only (1),Friday
1372,04/27/2018,1.513,1.515,0.0013201151,1373,0,0,,0,0.0,Master only (1),Friday
1377,05/04/2018,1.528,1.52,-0.0052631688,1378,0,0,,0,0.0,Master only (1),Friday
1382,05/11/2018,1.489,1.553,0.041210569,1383,0,0,,0,0.0,Master only (1),Friday
1387,05/18/2018,1.627,1.627,0.0,1388,0,0,,0,0.0,Master only (1),Friday
1393,05/25/2018,1.585,1.62,0.021604918,1394,0,0,,0,0.0,Master only (1),Friday
1398,06/01/2018,1.571,1.574,0.0019059854,1399,0,0,,0,0.0,Master only (1),Friday
1403,06/08/2018,1.581,1.591,0.0062853494,1404,0,0,,0,0.0,Master only (1),Friday
1408,06/15/2018,1.576,1.587,0.0069313403,1409,0,0,,0,0.0,Master only (1),Friday
1413,06/22/2018,1.635,1.633,-0.001224724,1414,0,0,,0,0.0,Master only (1),Friday
1418,06/29/2018,1.631,1.647,0.0097145801,1419,0,0,,0,0.0,Master only (1),Friday
1423,07/06/2018,1.643,1.651,0.0048455577,1424,0,0,,0,0.0,Master only (1),Friday
1428,07/13/2018,1.63,1.632,0.0012254744,1429,0,0,,0,0.0,Master only (1),Friday
1433,07/20/2018,1.63,1.626,-0.0024599929,1434,1,1,,0,0.0,Master only (1),Friday
1438,07/27/2018,1.613,1.618,0.0030902319,1439,0,0,,0,0.0,Master only (1),Friday
1443,08/03/2018,1.603,1.608,0.0031094498,1444,0,0,,0,0.0,Master only (1),Friday
1449,08/10/2018,1.6160001,1.626,0.0061500557,1450,0,0,,0,0.0,Master only (1),Friday
1454,08/17/2018,1.612,1.64,0.017073169,1455,0,0,,0,0.0,Master only (1),Friday
1459,08/24/2018,1.608,1.648,0.024271822,1460,0,0,,0,0.0,Master only (1),Friday
1464,08/31/2018,1.571,1.5880001,0.010705339,1465,0,0,,0,0.0,Master only (1),Friday
1469,09/07/2018,1.64,1.643,0.0018259409,1470,0,0,,0,0.0,Master only (1),Friday
1474,09/14/2018,1.632,1.627,-0.003073138,1475,0,0,,0,0.0,Master only (1),Friday
1481,09/21/2018,1.577,1.571,-0.0038192503,1482,0,0,,0,0.0,Master only (1),Friday
1488,09/28/2018,1.575,1.5930001,0.011299439,1489,0,0,,0,0.0,Master only (1),Friday
1495,10/05/2018,1.604,1.5829999,-0.013265968,1496,0,0,,0,0.0,Master only (1),Friday
1502,10/12/2018,1.592,1.601,0.0056214514,1503,0,0,,0,0.0,Master only (1),Friday
1509,10/19/2018,1.5930001,1.5700001,-0.014649683,1510,0,0,,0,0.0,Master only (1),Friday
1516,10/26/2018,1.526,1.549,0.01484829,1517,0,0,,0,0.0,Master only (1),Friday
1523,11/02/2018,1.566,1.566,0.0,1524,0,0,,0,0.0,Master only (1),Friday
1530,11/09/2018,1.557,1.6059999,0.030510528,1531,0,0,,0,0.0,Master only (1),Friday
1537,11/16/2018,1.635,1.607,-0.017423769,1538,0,0,,0,0.0,Master only (1),Friday
1543,11/23/2018,1.5880001,1.624,0.022167424,1544,0,0,,0,0.0,Master only (1),Friday
1550,11/30/2018,1.543,1.569,0.016571078,1551,0,0,,0,0.0,Master only (1),Friday
1557,12/07/2018,1.575,1.554,-0.013513532,1558,0,0,,0,0.0,Master only (1),Friday
1564,12/14/2018,1.423,1.455,0.021993171,1565,0,0,,0,0.0,Master only (1),Friday
1571,12/21/2018,1.327,1.364,0.027126057,1572,0,0,,0,0.0,Master only (1),Friday
1578,12/28/2018,1.346,1.3839999,0.027456639,1579,0,0,,0,0.0,Master only (1),Friday
1584,01/04/2019,1.475,1.421,-0.038001422,1585,0,0,,0,0.0,Master only (1),Friday
1591,01/11/2019,1.367,1.431,0.044723976,1592,0,0,,0,0.0,Master only (1),Friday
1598,01/18/2019,1.403,1.42,0.011971803,1599,0,0,,0,0.0,Master only (1),Friday
1605,01/25/2019,1.382,1.396,0.010028695,1606,0,0,,0,0.0,Master only (1),Friday
1611,02/01/2019,1.605,1.518,-0.057312261,1612,0,0,,0,0.0,Master only (1),Friday
1616,02/08/2019,1.6440001,1.579,-0.04116533,1617,0,0,,0,0.0,Master only (1),Friday
1621,02/15/2019,1.658,1.548,-0.071059443,1622,0,0,,0,0.0,Master only (1),Friday
1626,02/22/2019,1.571,1.581,0.0063251047,1627,0,0,,0,0.0,Master only (1),Friday
