,dates,opening_values,closing_values
230,2016-11-18,1669.91,1673.77
231,2016-11-21,1670.52,1677.73
232,2016-11-22,1679.69,1679.69
233,2016-11-23,1681.2,1674.02
234,2016-11-24,1674.42,1674.42
235,2016-11-25,1675.44,1677.16
236,2016-11-28,1679.44,1680.61
237,2016-11-29,1679.21,1676.9
238,2016-11-30,1678.69,1674.77
239,2016-12-01,1674.34,1668.86
240,2016-12-02,1669.91,1668.75
241,2016-12-05,1665.3,1668.82
242,2016-12-06,1671.3,1675.74
243,2016-12-07,1678.31,1681.89
244,2016-12-08,1680.08,1677.76
245,2016-12-09,1679.15,1677.31
246,2016-12-12,1673.47,1676.28
247,2016-12-13,1678.45,1680.67
248,2016-12-14,1682.43,1685.73
249,2016-12-15,1682.19,1682.19
250,2016-12-16,1685.12,1685.77
251,2016-12-19,1685.85,1688.43
252,2016-12-20,1686.96,1686.74
253,2016-12-21,1687.58,1687.72
254,2016-12-22,1689.27,1688.18
255,2016-12-23,1688.43,1688.52
257,2016-12-27,1688.39,1687.84
258,2016-12-28,1688.18,1686.2
259,2016-12-29,1686.77,1684.28
260,2016-12-30,1683.38,1677.54
